Az,El,CCDXerror,CCDyerror,AngleCCD,CCDAzerror,CCDElError
-31.12,75.09,407,252,76.7,-6.39,25.14
9.35,71.74,412,275,76.7,-27.62,35.3
-3.6,64.11,398,316,76.7,-70.74,31.11
-12.38,52.12,385,377,76.7,-133.1,32.49
15.46,51.76,393,388,76.7,-141.96,42.81
69.275,50.79,389,392,76.7,-146.77,39.83
-228.9,54.4,396,372,76.7,-125.7,42.04
-242.2,73.11,410,270,76.7,-23.21,32.2
-212.5,80.2,411,228,76.7,17.89,23.52
-112.6,77.2,410,242,76.7,4.03,25.76
-84.102,52.84,394,380,76.7,-133.94,41.94
-53,82.3,424,210,76.7,38.4,32.03
87.8,64.03,405,324,76.7,-76.92,39.76
